Theme,Sub Theme,Feature Name,Co-ordinates,Latitude,Longitude,Nearest_Outdoor_Sensor_ID,Nearest_Outdoor_Sensor_Distance_m,Coverage_Status
Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,"-37.8188662730911, 144.9839700954",-37.8188662730911,144.9839700954,136,914.115867665233,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Docklands Park,"-37.8209956785618, 144.946781702342",-37.8209956785618,144.946781702342,8,218.4411110477339,SUPPORTED
Mixed Use,Retail/Office,Waterfront City,"-37.815056661803, 144.939136876334",-37.815056661803,144.939136876334,11,86.25287991840727,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Point Park,"-37.8233522700646, 144.942102276731",-37.8233522700646,144.942102276731,130,329.4427757204007,NO_DATA
Community Use,Public Buildings,Melbourne Theatre Company,"-37.823930384816, 144.968297429894",-37.823930384816,144.968297429894,29,440.70497855998804,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Alexandra Gardens,"-37.8206051404251, 144.971796067365",-37.8206051404251,144.971796067365,161,236.49432159426686,SUPPORTED
Transport,Railway Station,Jolimont-MCG Railway Station (East Melbourne) - Train stop,"-37.8165651811668, 144.983641003377",-37.8165651811668,144.983641003377,75,802.9637275094874,NO_DATA
Community Use,Public Buildings,Shrine of Remembrance,"-37.8302080020387, 144.973441913623",-37.8302080020387,144.973441913623,140,1123.9319133307333,NO_DATA
Transport,Railway Station,Newmarket Railway Station,"-37.7872726241965, 144.929059958114",-37.7872726241965,144.929059958114,85,786.3274065950757,NO_DATA
Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,"-37.7976589943217, 144.968750113566",-37.7976589943217,144.968750113566,50,143.24828378207098,SUPPORTED
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,"-37.7823097850883, 144.910822117306",-37.7823097850883,144.910822117306,85,2132.2600498585375,NO_DATA
Industrial,Industrial (Manufacturing),Kraft,"-37.8262313085528, 144.923475698195",-37.8262313085528,144.923475698195,130,1689.2597089035728,NO_DATA
Mixed Use,Retail/Office/Carpark,"Melbourne Wholesale Fruit, Vegetable & Flower Market","-37.80687252157, 144.923287444259",-37.80687252157,144.923287444259,76,1505.8072370272882,NO_DATA
Mixed Use,Retail/Office/Carpark,Melbourne Central,"-37.8105371797142, 144.962749729496",-37.8105371797142,144.962749729496,62,81.76541578955063,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Piazza Italia,"-37.8025164192523, 144.965863092947",-37.8025164192523,144.965863092947,31,111.24139724113458,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Murchinson Square,"-37.8002735025371, 144.973059252203",-37.8002735025371,144.973059252203,37,535.7619811359368,NO_DATA
Purpose Built,Aquarium,Melbourne Aquarium,"-37.8209627824685, 144.958425696055",-37.8209627824685,144.958425696055,141,110.29430470696934,SUPPORTED
Retail,Department Store,Myer,"-37.8135911985281, 144.963855087868",-37.8135911985281,144.963855087868,185,97.57617991940123,SUPPORTED
Place of Worship,Church,St Francis Church,"-37.8118847831837, 144.962422614541",-37.8118847831837,144.962422614541,47,79.00442299336711,SUPPORTED
Place of Worship,Church,Greek Orthodox Church,"-37.8088064667555, 144.978259089269",-37.8088064667555,144.978259089269,40,541.9435988176604,NO_DATA
Place of Worship,Church,North Melbourne Uniting,"-37.8035538471344, 144.947671538375",-37.8035538471344,144.947671538375,86,133.69409189072303,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens North,"-37.8017690847403, 144.971997551189",-37.8017690847403,144.971997551189,37,441.9479505494155,NO_DATA
Mixed Use,Retail/Office,Treasury Reserve,"-37.8129178793082, 144.975236759799",-37.8129178793082,144.975236759799,17,192.57088221236518,SUPPORTED
Specialist Residential Accommodation,Hostel,The Mission To Seafarers Victoria,"-37.8224995970811, 144.951254841448",-37.8224995970811,144.951254841448,9,297.5373733665242,LIMITED
Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,"-37.8116945351989, 144.936833674975",-37.8116945351989,144.936833674975,11,510.30651344689744,NO_DATA
Office,Office,State Coroners Office,"-37.8244982228756, 144.964675254819",-37.8244982228756,144.964675254819,179,160.66534947389292,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Fawkner Park,"-37.8413996708186, 144.981625667877",-37.8413996708186,144.981625667877,140,2445.3979160931335,NO_DATA
Education Centre,Tertiary (University),BIO 21 Institute,"-37.7978743305343, 144.953780325865",-37.7978743305343,144.953780325865,86,712.8336620050666,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Enterprize Park,"-37.820210269629, 144.959276859602",-37.820210269629,144.959276859602,138,54.512997567488455,SUPPORTED
Health Services,Public Hospital,Royal Melbourne Hospital,"-37.7993071664096, 144.956389746765",-37.7993071664096,144.956389746765,46,570.7526444560405,NO_DATA
Community Use,Public Buildings,Commonwealth Law Courts,"-37.8123961677596, 144.955823833257",-37.8123961677596,144.955823833257,109,61.36830167585682,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,City Baths,"-37.8071585350561, 144.963189789721",-37.8071585350561,144.963189789721,61,58.02915120565056,SUPPORTED
Transport,Railway Station,Flemington Bridge Railway Station,"-37.7881645889621, 144.939277838304",-37.7881645889621,144.939277838304,180,833.4937287180577,NO_DATA
Mixed Use,Retail/Office/Carpark,Council House 2 (CH2),"-37.8142591432011, 144.966638432727",-37.8142591432011,144.966638432727,45,49.622009953294466,SUPPORTED
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Carlton Gardens South,"-37.8060684577258, 144.971266479841",-37.8060684577258,144.971266479841,40,445.35312682363826,NO_DATA
Place of Worship,Church,Wesley Church,"-37.8101576446961, 144.968168215633",-37.8101576446961,144.968168215633,20,174.87816798014904,SUPPORTED
Place of Worship,Church,Christ Church Kensington,"-37.7932109480553, 144.92729572288",-37.7932109480553,144.92729572288,85,247.41911485355163,SUPPORTED
Health Services,Private Hospital,Melbourne Private Hospital,"-37.7983111309698, 144.95728837725",-37.7983111309698,144.95728837725,46,590.5791724743526,NO_DATA
Community Use,Police Station,Victoria Police,"-37.8003121288849, 144.954697453742",-37.8003121288849,144.954697453742,86,582.7733643624586,NO_DATA
Leisure/Recreation,Major Sports & Recreation Facility,Visy Park,"-37.7834303940347, 144.961982577553",-37.7834303940347,144.961982577553,44,1522.5275177583999,NO_DATA
Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),Batman Park,"-37.8218460949601, 144.956665812218",-37.8218460949601,144.956665812218,143,97.12972434147606,SUPPORTED
Office,Office,Australian Red Cross,"-37.7990921023192, 144.952635945774",-37.7990921023192,144.952635945774,86,544.2225388275901,NO_DATA
Place Of Assembly,Art Gallery/Museum,Polly Woodside,"-37.8242574266145, 144.953478052064",-37.8242574266145,144.953478052064,25,226.9667908381257,SUPPORTED
Community Use,Public Buildings,Melbourne Town Hall,"-37.8150754791411, 144.966542722283",-37.8150754791411,144.966542722283,4,45.49733658632217,SUPPORTED
Mixed Use,Retail/Office,DFO South Wharf,"-37.824887401234, 144.949794297819",-37.824887401234,144.949794297819,8,316.28204390965897,NO_DATA
Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,"-37.8174831423197, 144.969899048343",-37.8174831423197,144.969899048343,72,105.72069089820245,SUPPORTED
Purpose Built,Film & RV Studio,Channel 7 - Melbourne Broadcast Centre,"-37.8158572333481, 144.94582326909",-37.8158572333481,144.94582326909,77,207.22204319563173,SUPPORTED
Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,"-37.8247252673963, 144.98380297866",-37.8247252673963,144.98380297866,136,1139.7002947765602,NO_DATA
