Location_ID,Window15,observed_rows,observed_total,first_record,last_record,zero_row_window
2,2026-08-08 12:30:00,15,431.0,2026-08-08 12:30:00,2026-08-08 12:44:00,False
2,2026-08-08 12:45:00,15,415.0,2026-08-08 12:45:00,2026-08-08 12:59:00,False
2,2026-08-08 13:00:00,15,452.0,2026-08-08 13:00:00,2026-08-08 13:14:00,False
2,2026-08-08 13:15:00,15,451.0,2026-08-08 13:15:00,2026-08-08 13:29:00,False
2,2026-08-08 13:30:00,15,505.0,2026-08-08 13:30:00,2026-08-08 13:44:00,False
2,2026-08-08 13:45:00,15,474.0,2026-08-08 13:45:00,2026-08-08 13:59:00,False
2,2026-08-08 14:00:00,15,436.0,2026-08-08 14:00:00,2026-08-08 14:14:00,False
2,2026-08-08 14:15:00,15,511.0,2026-08-08 14:15:00,2026-08-08 14:29:00,False
2,2026-08-08 14:30:00,15,488.0,2026-08-08 14:30:00,2026-08-08 14:44:00,False
2,2026-08-08 14:45:00,15,533.0,2026-08-08 14:45:00,2026-08-08 14:59:00,False
2,2026-08-08 15:00:00,15,561.0,2026-08-08 15:00:00,2026-08-08 15:14:00,False
2,2026-08-08 15:15:00,15,520.0,2026-08-08 15:15:00,2026-08-08 15:29:00,False
2,2026-08-08 15:30:00,15,543.0,2026-08-08 15:30:00,2026-08-08 15:44:00,False
2,2026-08-08 15:45:00,15,509.0,2026-08-08 15:45:00,2026-08-08 15:59:00,False
2,2026-08-08 16:00:00,15,484.0,2026-08-08 16:00:00,2026-08-08 16:14:00,False
2,2026-08-08 16:15:00,15,511.0,2026-08-08 16:15:00,2026-08-08 16:29:00,False
2,2026-08-08 16:30:00,15,532.0,2026-08-08 16:30:00,2026-08-08 16:44:00,False
2,2026-08-08 16:45:00,15,569.0,2026-08-08 16:45:00,2026-08-08 16:59:00,False
2,2026-08-08 17:00:00,15,444.0,2026-08-08 17:00:00,2026-08-08 17:14:00,False
2,2026-08-08 17:15:00,15,455.0,2026-08-08 17:15:00,2026-08-08 17:29:00,False
2,2026-08-08 17:30:00,15,399.0,2026-08-08 17:30:00,2026-08-08 17:44:00,False
2,2026-08-08 17:45:00,15,426.0,2026-08-08 17:45:00,2026-08-08 17:59:00,False
2,2026-08-08 18:00:00,15,369.0,2026-08-08 18:00:00,2026-08-08 18:14:00,False
2,2026-08-08 18:15:00,15,366.0,2026-08-08 18:15:00,2026-08-08 18:29:00,False
2,2026-08-08 18:30:00,15,297.0,2026-08-08 18:30:00,2026-08-08 18:44:00,False
2,2026-08-08 18:45:00,15,283.0,2026-08-08 18:45:00,2026-08-08 18:59:00,False
2,2026-08-08 19:00:00,15,243.0,2026-08-08 19:00:00,2026-08-08 19:14:00,False
2,2026-08-08 19:15:00,15,180.0,2026-08-08 19:15:00,2026-08-08 19:29:00,False
2,2026-08-08 19:30:00,14,169.0,2026-08-08 19:30:00,2026-08-08 19:44:00,False
2,2026-08-08 19:45:00,15,159.0,2026-08-08 19:45:00,2026-08-08 19:59:00,False
2,2026-08-08 20:00:00,15,169.0,2026-08-08 20:00:00,2026-08-08 20:14:00,False
2,2026-08-08 20:15:00,15,138.0,2026-08-08 20:15:00,2026-08-08 20:29:00,False
2,2026-08-08 20:30:00,14,158.0,2026-08-08 20:30:00,2026-08-08 20:44:00,False
2,2026-08-08 20:45:00,14,132.0,2026-08-08 20:45:00,2026-08-08 20:59:00,False
2,2026-08-08 21:00:00,14,138.0,2026-08-08 21:00:00,2026-08-08 21:14:00,False
2,2026-08-08 21:15:00,15,106.0,2026-08-08 21:15:00,2026-08-08 21:29:00,False
2,2026-08-08 21:30:00,4,26.0,2026-08-08 21:30:00,2026-08-08 21:33:00,False
3,2026-08-07 23:45:00,5,81.0,2026-08-07 23:55:00,2026-08-07 23:59:00,False
3,2026-08-08 00:00:00,15,214.0,2026-08-08 00:00:00,2026-08-08 00:14:00,False
3,2026-08-08 00:15:00,15,206.0,2026-08-08 00:15:00,2026-08-08 00:29:00,False
3,2026-08-08 00:30:00,15,199.0,2026-08-08 00:30:00,2026-08-08 00:44:00,False
3,2026-08-08 00:45:00,15,125.0,2026-08-08 00:45:00,2026-08-08 00:59:00,False
3,2026-08-08 01:00:00,15,149.0,2026-08-08 01:00:00,2026-08-08 01:14:00,False
3,2026-08-08 01:15:00,15,139.0,2026-08-08 01:15:00,2026-08-08 01:29:00,False
3,2026-08-08 01:30:00,13,118.0,2026-08-08 01:30:00,2026-08-08 01:43:00,False
3,2026-08-08 01:45:00,13,117.0,2026-08-08 01:45:00,2026-08-08 01:57:00,False
3,2026-08-08 02:00:00,15,138.0,2026-08-08 02:00:00,2026-08-08 02:14:00,False
3,2026-08-08 02:15:00,15,88.0,2026-08-08 02:15:00,2026-08-08 02:29:00,False
3,2026-08-08 02:30:00,14,83.0,2026-08-08 02:31:00,2026-08-08 02:44:00,False
3,2026-08-08 02:45:00,15,94.0,2026-08-08 02:45:00,2026-08-08 02:59:00,False
3,2026-08-08 03:00:00,14,87.0,2026-08-08 03:00:00,2026-08-08 03:14:00,False
3,2026-08-08 03:15:00,14,41.0,2026-08-08 03:15:00,2026-08-08 03:29:00,False
3,2026-08-08 03:30:00,11,44.0,2026-08-08 03:32:00,2026-08-08 03:43:00,False
3,2026-08-08 03:45:00,9,22.0,2026-08-08 03:45:00,2026-08-08 03:59:00,False
3,2026-08-08 04:00:00,5,6.0,2026-08-08 04:00:00,2026-08-08 04:11:00,False
3,2026-08-08 04:15:00,11,33.0,2026-08-08 04:15:00,2026-08-08 04:28:00,False
3,2026-08-08 04:30:00,9,20.0,2026-08-08 04:30:00,2026-08-08 04:44:00,False
3,2026-08-08 04:45:00,9,26.0,2026-08-08 04:45:00,2026-08-08 04:58:00,False
3,2026-08-08 05:00:00,8,12.0,2026-08-08 05:01:00,2026-08-08 05:14:00,False
3,2026-08-08 05:15:00,7,18.0,2026-08-08 05:15:00,2026-08-08 05:25:00,False
3,2026-08-08 05:30:00,8,12.0,2026-08-08 05:30:00,2026-08-08 05:42:00,False
3,2026-08-08 05:45:00,6,6.0,2026-08-08 05:45:00,2026-08-08 05:59:00,False
3,2026-08-08 06:00:00,9,13.0,2026-08-08 06:01:00,2026-08-08 06:14:00,False
3,2026-08-08 06:15:00,8,12.0,2026-08-08 06:18:00,2026-08-08 06:29:00,False
3,2026-08-08 06:30:00,7,11.0,2026-08-08 06:33:00,2026-08-08 06:44:00,False
3,2026-08-08 06:45:00,10,17.0,2026-08-08 06:45:00,2026-08-08 06:59:00,False
3,2026-08-08 07:00:00,11,23.0,2026-08-08 07:01:00,2026-08-08 07:14:00,False
3,2026-08-08 07:15:00,10,14.0,2026-08-08 07:15:00,2026-08-08 07:28:00,False
3,2026-08-08 07:30:00,13,27.0,2026-08-08 07:30:00,2026-08-08 07:44:00,False
3,2026-08-08 07:45:00,13,28.0,2026-08-08 07:45:00,2026-08-08 07:59:00,False
3,2026-08-08 08:00:00,15,54.0,2026-08-08 08:00:00,2026-08-08 08:14:00,False
3,2026-08-08 08:15:00,14,59.0,2026-08-08 08:15:00,2026-08-08 08:29:00,False
3,2026-08-08 08:30:00,15,73.0,2026-08-08 08:30:00,2026-08-08 08:44:00,False
3,2026-08-08 08:45:00,15,69.0,2026-08-08 08:45:00,2026-08-08 08:59:00,False
3,2026-08-08 09:00:00,13,76.0,2026-08-08 09:00:00,2026-08-08 09:14:00,False
3,2026-08-08 09:15:00,15,118.0,2026-08-08 09:15:00,2026-08-08 09:29:00,False
3,2026-08-08 09:30:00,15,130.0,2026-08-08 09:30:00,2026-08-08 09:44:00,False
3,2026-08-08 09:45:00,15,146.0,2026-08-08 09:45:00,2026-08-08 09:59:00,False
3,2026-08-08 10:00:00,15,176.0,2026-08-08 10:00:00,2026-08-08 10:14:00,False
3,2026-08-08 10:15:00,15,228.0,2026-08-08 10:15:00,2026-08-08 10:29:00,False
3,2026-08-08 10:30:00,15,286.0,2026-08-08 10:30:00,2026-08-08 10:44:00,False
3,2026-08-08 10:45:00,15,288.0,2026-08-08 10:45:00,2026-08-08 10:59:00,False
3,2026-08-08 11:00:00,15,317.0,2026-08-08 11:00:00,2026-08-08 11:14:00,False
3,2026-08-08 11:15:00,15,376.0,2026-08-08 11:15:00,2026-08-08 11:29:00,False
3,2026-08-08 11:30:00,15,412.0,2026-08-08 11:30:00,2026-08-08 11:44:00,False
3,2026-08-08 11:45:00,15,420.0,2026-08-08 11:45:00,2026-08-08 11:59:00,False
3,2026-08-08 12:00:00,15,511.0,2026-08-08 12:00:00,2026-08-08 12:14:00,False
3,2026-08-08 12:15:00,15,521.0,2026-08-08 12:15:00,2026-08-08 12:29:00,False
3,2026-08-08 12:30:00,15,510.0,2026-08-08 12:30:00,2026-08-08 12:44:00,False
3,2026-08-08 12:45:00,15,593.0,2026-08-08 12:45:00,2026-08-08 12:59:00,False
3,2026-08-08 13:00:00,15,623.0,2026-08-08 13:00:00,2026-08-08 13:14:00,False
